date,last day of the month,dataset type,number of datasets
19/07/2016,0,x-qgis,18
19/07/2016,0,x-dbase,18
19/07/2016,0,octet-stream,18
19/07/2016,0,json,17
19/07/2016,0,plain,13
19/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
19/07/2016,0,rss+xml,6
19/07/2016,0,rdf,5
19/07/2016,0,tiff,5
19/07/2016,0,x-javascript,4
19/07/2016,0,x-shockwave-flash,4
19/07/2016,0,ms-word,3
19/07/2016,0,png,2
19/07/2016,0,vnd.google-earth.kml+xml,1
19/07/2016,0,x-mxd,1
19/07/2016,0,x-n3,1
20/07/2016,0,zip,11028
20/07/2016,0,x-gzip,6349
20/07/2016,0,tsv,6342
20/07/2016,0,xml,826
20/07/2016,0,pdf,726
20/07/2016,0,csv,486
20/07/2016,0,html,360
20/07/2016,0,vnd.ms-excel,239
20/07/2016,0,rdf_xml,118
20/07/2016,0,msaccess,44
20/07/2016,0,sparql,32
20/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
20/07/2016,0,n3,28
20/07/2016,0,x-qgis,18
20/07/2016,0,x-dbase,18
20/07/2016,0,octet-stream,18
20/07/2016,0,json,17
20/07/2016,0,plain,13
20/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
20/07/2016,0,rss+xml,6
20/07/2016,0,rdf,5
20/07/2016,0,tiff,5
20/07/2016,0,x-javascript,4
20/07/2016,0,x-shockwave-flash,4
20/07/2016,0,ms-word,3
20/07/2016,0,png,2
20/07/2016,0,vnd.google-earth.kml+xml,1
20/07/2016,0,x-mxd,1
20/07/2016,0,x-n3,1
21/07/2016,0,zip,11028
21/07/2016,0,x-gzip,6349
21/07/2016,0,tsv,6342
21/07/2016,0,xml,826
21/07/2016,0,pdf,726
21/07/2016,0,csv,486
21/07/2016,0,html,360
21/07/2016,0,vnd.ms-excel,239
21/07/2016,0,rdf_xml,118
21/07/2016,0,msaccess,44
21/07/2016,0,sparql,32
21/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
21/07/2016,0,n3,28
21/07/2016,0,x-qgis,18
21/07/2016,0,x-dbase,18
21/07/2016,0,octet-stream,18
21/07/2016,0,json,17
21/07/2016,0,plain,13
21/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
21/07/2016,0,rss+xml,6
21/07/2016,0,rdf,5
21/07/2016,0,tiff,5
21/07/2016,0,x-javascript,4
21/07/2016,0,x-shockwave-flash,4
21/07/2016,0,ms-word,3
21/07/2016,0,png,2
21/07/2016,0,vnd.google-earth.kml+xml,1
21/07/2016,0,x-mxd,1
21/07/2016,0,x-n3,1
22/07/2016,0,zip,11025
22/07/2016,0,x-gzip,6346
22/07/2016,0,tsv,6339
22/07/2016,0,xml,827
22/07/2016,0,pdf,726
22/07/2016,0,csv,486
22/07/2016,0,html,360
22/07/2016,0,vnd.ms-excel,239
22/07/2016,0,rdf_xml,121
22/07/2016,0,msaccess,44
22/07/2016,0,sparql,32
22/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
22/07/2016,0,n3,28
22/07/2016,0,x-qgis,18
22/07/2016,0,x-dbase,18
22/07/2016,0,octet-stream,18
22/07/2016,0,json,17
22/07/2016,0,plain,13
22/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
22/07/2016,0,rss+xml,6
22/07/2016,0,rdf,5
22/07/2016,0,tiff,5
22/07/2016,0,x-javascript,4
22/07/2016,0,x-shockwave-flash,4
22/07/2016,0,ms-word,3
22/07/2016,0,png,2
22/07/2016,0,vnd.google-earth.kml+xml,1
22/07/2016,0,x-mxd,1
22/07/2016,0,x-n3,1
23/07/2016,0,zip,11029
23/07/2016,0,x-gzip,6350
23/07/2016,0,tsv,6343
23/07/2016,0,xml,827
23/07/2016,0,pdf,726
23/07/2016,0,csv,486
23/07/2016,0,html,360
23/07/2016,0,vnd.ms-excel,239
23/07/2016,0,rdf_xml,121
23/07/2016,0,msaccess,44
23/07/2016,0,sparql,32
23/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
23/07/2016,0,n3,28
23/07/2016,0,x-qgis,18
23/07/2016,0,x-dbase,18
23/07/2016,0,octet-stream,18
23/07/2016,0,json,17
23/07/2016,0,plain,13
23/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
23/07/2016,0,rss+xml,6
23/07/2016,0,rdf,5
23/07/2016,0,tiff,5
23/07/2016,0,x-javascript,4
23/07/2016,0,x-shockwave-flash,4
23/07/2016,0,ms-word,3
23/07/2016,0,png,2
23/07/2016,0,vnd.google-earth.kml+xml,1
23/07/2016,0,x-mxd,1
23/07/2016,0,x-n3,1
24/07/2016,0,zip,11029
24/07/2016,0,x-gzip,6350
24/07/2016,0,tsv,6343
24/07/2016,0,xml,827
24/07/2016,0,pdf,726
24/07/2016,0,csv,486
24/07/2016,0,html,360
24/07/2016,0,vnd.ms-excel,239
24/07/2016,0,rdf_xml,121
24/07/2016,0,msaccess,44
24/07/2016,0,sparql,32
24/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
24/07/2016,0,n3,28
24/07/2016,0,x-qgis,18
24/07/2016,0,x-dbase,18
24/07/2016,0,octet-stream,18
24/07/2016,0,json,17
24/07/2016,0,plain,13
24/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
24/07/2016,0,rss+xml,6
24/07/2016,0,rdf,5
24/07/2016,0,tiff,5
24/07/2016,0,x-javascript,4
24/07/2016,0,x-shockwave-flash,4
24/07/2016,0,ms-word,3
24/07/2016,0,png,2
24/07/2016,0,vnd.google-earth.kml+xml,1
24/07/2016,0,x-mxd,1
24/07/2016,0,x-n3,1
25/07/2016,0,zip,11029
25/07/2016,0,x-gzip,6350
25/07/2016,0,tsv,6343
25/07/2016,0,xml,827
25/07/2016,0,pdf,726
25/07/2016,0,csv,486
25/07/2016,0,html,360
25/07/2016,0,vnd.ms-excel,239
25/07/2016,0,rdf_xml,121
25/07/2016,0,msaccess,44
25/07/2016,0,sparql,32
25/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
25/07/2016,0,n3,28
25/07/2016,0,x-qgis,18
25/07/2016,0,x-dbase,18
25/07/2016,0,octet-stream,18
25/07/2016,0,json,17
25/07/2016,0,plain,13
25/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
25/07/2016,0,rss+xml,6
25/07/2016,0,rdf,5
25/07/2016,0,tiff,5
25/07/2016,0,x-javascript,4
25/07/2016,0,x-shockwave-flash,4
25/07/2016,0,ms-word,3
25/07/2016,0,png,2
25/07/2016,0,vnd.google-earth.kml+xml,1
25/07/2016,0,x-mxd,1
25/07/2016,0,x-n3,1
26/07/2016,0,zip,11049
26/07/2016,0,x-gzip,6349
26/07/2016,0,tsv,6342
26/07/2016,0,xml,827
26/07/2016,0,pdf,726
26/07/2016,0,csv,486
26/07/2016,0,html,360
26/07/2016,0,vnd.ms-excel,239
26/07/2016,0,rdf_xml,121
26/07/2016,0,msaccess,44
26/07/2016,0,sparql,32
26/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
26/07/2016,0,n3,28
26/07/2016,0,x-qgis,18
26/07/2016,0,x-dbase,18
26/07/2016,0,octet-stream,18
26/07/2016,0,json,17
26/07/2016,0,plain,13
26/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
26/07/2016,0,rss+xml,6
26/07/2016,0,rdf,5
26/07/2016,0,tiff,5
26/07/2016,0,x-javascript,4
26/07/2016,0,x-shockwave-flash,4
26/07/2016,0,ms-word,3
26/07/2016,0,png,2
26/07/2016,0,vnd.google-earth.kml+xml,1
26/07/2016,0,x-mxd,1
26/07/2016,0,x-n3,1
27/07/2016,0,zip,11049
27/07/2016,0,x-gzip,6349
27/07/2016,0,tsv,6342
27/07/2016,0,xml,827
27/07/2016,0,pdf,726
27/07/2016,0,csv,486
27/07/2016,0,html,360
27/07/2016,0,vnd.ms-excel,239
27/07/2016,0,rdf_xml,129
27/07/2016,0,msaccess,44
27/07/2016,0,sparql,32
27/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
27/07/2016,0,n3,28
27/07/2016,0,x-qgis,18
27/07/2016,0,x-dbase,18
27/07/2016,0,octet-stream,18
27/07/2016,0,json,17
27/07/2016,0,plain,13
27/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
27/07/2016,0,rss+xml,6
27/07/2016,0,rdf,5
27/07/2016,0,tiff,5
27/07/2016,0,x-javascript,4
27/07/2016,0,x-shockwave-flash,4
27/07/2016,0,ms-word,3
27/07/2016,0,png,2
27/07/2016,0,vnd.google-earth.kml+xml,1
27/07/2016,0,x-mxd,1
27/07/2016,0,x-n3,1
28/07/2016,0,zip,11053
28/07/2016,0,x-gzip,6351
28/07/2016,0,tsv,6344
28/07/2016,0,xml,827
28/07/2016,0,pdf,729
28/07/2016,0,csv,486
28/07/2016,0,html,360
28/07/2016,0,vnd.ms-excel,239
28/07/2016,0,rdf_xml,129
28/07/2016,0,msaccess,44
28/07/2016,0,sparql,32
